num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,krpm,ntrees,runtm,auc_rs_avg,auc_rs_std,auc_test
5000,0.01,50,0.6,0.6,0,0,1,754,31.06445,0.792288655113898,0.00155045221549956,0.725808540416325
1000,0.03,20,1,0.8,0,0.1,2,195.8,8.91040000000002,0.794448165484171,0.00167370139559158,0.733083287706114
100,0.03,10,0.6,0.6,0.3,0,3,640.05,4.3081,0.784547529129101,0.00137434493560473,0.723566114338798
500,0.03,10,1,0.6,0,0.3,4,286.25,6.69145000000002,0.797512165697115,0.00145937212311247,0.736557050132726
200,0.1,20,0.6,0.6,0.01,0.3,5,173.35,1.99985000000002,0.78876905721966,0.00134974943625006,0.726092901575059
30,0.03,5,1,0.6,0,0,6,904.85,3.29025000000001,0.768443942777444,0.00207226760567682,0.718696937020661
100,0.03,50,0.8,1,0.01,0,7,780.95,4.90835000000002,0.792706515937991,0.00138696093930448,0.730569511476635
2000,0.1,10,0.6,1,0,0.3,8,66.55,5.86960000000001,0.79403779855701,0.00123457326828438,0.728915209223381
500,0.03,5,0.6,0.6,0.3,0,9,355.45,7.47755,0.803732334560426,0.00170978662392056,0.734990318290549
2000,0.01,10,0.6,0.8,0,0,10,539.95,41.25555,0.798581733820313,0.00108435461104373,0.733183934422767
100,0.03,50,0.8,1,0.01,0.3,11,805.35,5.16179999999999,0.795834478053378,0.00146670580303113,0.729633902156267
200,0.03,50,0.8,0.6,0,0,12,551.6,5.83795000000007,0.799972681965463,0.00128069159642876,0.731935430366907
500,0.1,20,0.8,0.6,0.1,0.01,13,96.4,2.45975000000001,0.801445666180531,0.00135352068988608,0.738928300771759
200,0.1,10,0.6,0.6,0,0.01,14,149.35,1.75560000000009,0.786379926564547,0.00117714222112679,0.724778000450848
500,0.03,10,0.6,0.6,0.1,0,15,345.75,7.46524999999999,0.801296658089958,0.00126308102095248,0.733843343945467
5000,0.03,20,0.6,0.6,0,0.3,16,243.5,18.28575,0.796857022712614,0.00135493401669704,0.732001829384585
2000,0.1,10,0.6,0.6,0.1,0,17,65.85,5.87715000000012,0.793808301313574,0.0015777747192994,0.729693479897734
500,0.01,20,0.6,0.6,0,0,18,829.5,16.8243,0.798150226895037,0.00146377679826546,0.730647359205738
500,0.01,20,0.6,0.6,0,0,19,827.95,16.6933,0.797429505915914,0.00132436733084584,0.731134489353187
1000,0.1,20,0.6,1,0.01,0.3,20,75.9,3.35534999999991,0.792033140514201,0.00137295873741864,0.727922360244325
5000,0.01,5,1,0.8,0,0.3,21,310.9,62.1265,0.772304207460282,0.00202060797547319,0.723712233793503
100,0.03,10,1,1,0.1,0.01,22,669.55,4.42829999999995,0.788952104940428,0.00169650479377313,0.732653455693817
500,0.01,10,0.6,0.8,0,0.01,23,797.7,16.09905,0.799113357368226,0.00129495707033308,0.733505216628219
200,0.1,5,0.6,1,0.3,0.3,24,192.25,2.08830000000007,0.794502543187616,0.00127623968899445,0.727508865573338
2000,0.1,50,0.6,0.6,0.01,0.01,25,88,3.73829999999994,0.784966623003001,0.00127640556381164,0.722598536925768
30,0.01,10,0.6,1,0.3,0.01,26,2334,8.66540000000009,0.760532697294683,0.00162672979484125,0.709435682361338
100,0.01,50,1,0.8,0.1,0,27,2304.6,14.8049499999999,0.794837881745902,0.00130008915502944,0.731871116034049
5000,0.01,50,0.6,0.6,0,0.01,28,768.55,30.8168,0.790612418570866,0.00111391627712789,0.72583195048258
30,0.1,10,0.8,0.6,0,0,29,325.2,1.46914999999999,0.771771433426362,0.00192221811060933,0.72077117804802
5000,0.01,50,0.8,0.6,0,0,30,793.5,38.9101499999998,0.802623511919247,0.00146503878773027,0.733404222951401
100,0.03,10,0.8,0.6,0.1,0.3,31,809.7,5.23479999999963,0.797945433335466,0.00168175597134773,0.734991147681303
5000,0.01,20,0.8,0.6,0,0.3,32,536.05,47.01565,0.805519784205073,0.00142182084546182,0.737542991095512
30,0.03,10,0.8,1,0.1,0.01,33,1127.05,3.94254999999994,0.775457719852398,0.00168109301283334,0.722514916597941
5000,0.1,10,1,1,0,0.1,34,33.65,7.50614999999989,0.768219423798762,0.00251508157966816,0.723922675377649
30,0.03,50,0.8,0.6,0,0,35,1280.75,4.52654999999968,0.779845175514757,0.00170355467885315,0.723172406144368
30,0.01,20,0.6,0.8,0,0,36,1989.15,7.56549999999997,0.757804678327082,0.00155038396831889,0.70789740222885
5000,0.03,5,0.8,0.6,0,0.1,37,105.3,22.3236999999999,0.806072490625827,0.00154476169045018,0.740040525495151
30,0.03,10,1,0.8,0,0,38,1032.75,3.72214999999987,0.772258455276074,0.00178058531522955,0.719833877784052
30,0.1,5,1,0.8,0,0,39,322.85,1.40134999999982,0.771065279776912,0.00170250376140301,0.721187958120019
500,0.01,5,0.6,0.8,0.01,0,40,884.65,17.9156500000001,0.80060053970229,0.0013858396039194,0.734243805193585
